"variable";"details";"unit";"type"
"abso(n)";"N uptake rate by the crop";"kg.ha-1.d-1";"real"
"age_prairie";"age of the forage crop since sowing";"year";"integer"
"airg(n)";"daily amount of irrigation water";"mm.d-1";"real"
"albedolai";"albedo of the crop including soil and vegetation";"SD";"real"
"allocfruit";"allocation ratio of assimilates to the fruits";"0-1";"real"
"ammomes";"amount of NH4-N in soil over the depth ""profmes""";"kg.ha-1";"real"
"amptcultmat";"mean daily temperature range (tcult) during the reproductive phase (stages lax - rec)";"degreeC";"real"
"anit(n)";"daily amount of fertiliser-N added to crop";"kg.ha-1.d-1";"real"
"anit_engrais(n)";"Daily nitrogen provided by fertiliser";"kgN.ha-1 j-1";"real"
"anit_uree(n)";"amount of animal urine returned to the soil";"kgN.ha-1 j-1";"real"
"anoxmoy";"index of anoxia over the root depth";"0-1";"real"
"AZamm(1)";"amount of  NH4-N in the soil horizon 1";"kg.ha-1";"real"
"AZamm(2)";"amount of  NH4-N in the soil horizon 2";"kg.ha-1";"real"
"AZamm(3)";"amount of  NH4-N in the soil horizon 3";"kg.ha-1";"real"
"AZamm(4)";"amount of  NH4-N in the soil horizon 4";"kg.ha-1";"real"
"AZamm(5)";"amount of  NH4-N in the soil horizon 5";"kg.ha-1";"real"
"azlesd";"daily amount of NO3-N leached in mole drains";"kg.ha-1.d-1";"real"
"AZnit(1)";"amount of  NO3-N in the soil horizon 1";"kg.ha-1";"real"
"AZnit(2)";"amount of  NO3-N in the soil horizon 2";"kg.ha-1";"real"
"AZnit(3)";"amount of  NO3-N in the soil horizon 3";"kg.ha-1";"real"
"AZnit(4)";"amount of  NO3-N in the soil horizon 4";"kg.ha-1";"real"
"AZnit(5)";"amount of  NO3-N in the soil horizon 5";"kg.ha-1";"real"
"azomes";"amount of NO3-N in soil over the depth ""profmes""";"kg.ha-1";"real"
"bouchon";"index showing if the shrinkage slots are opened (0) or closed (1)";"0/1";"real"
"Cb";"amount of C in the microbial biomass decomposing organic residues mixed with soil";"kg.ha-1";"real"
"Cbmulch";"amount of C in the microbial biomass decomposing organic residues at soil surface (mulch)";"kg.ha-1";"real"
"cdemande";"cumulative amount of N needed by the plant  (plant needs)";"kg.ha-1";"real"
"cEdirect";"Total Evaporation (water evaporated by the soil + intercepted by leaves and mulch) integrated over the cropping season";"mm";"real"
"cEdirecttout";"Total Evaporation (water evaporated by the soil + intercepted by leaves and mulch) integrated over the simulation period";"mm";"real"
"cep";"cumulative transpiration over the cropping season";"mm";"real"
"ces";"cumulative evaporation over the cropping season";"mm";"real"
"cestout";"cumulative evaporation over the simulation period";"mm";"real"
"cet";"cumulative evapotranspiration over the cropping season";"mm";"real"
"cet_from_lev";"cumulative evapotranspiration over the cropping season (from emergence or budbreak)";"mm";"real"
"cetm";"cumulative maximum evapotranspiration over the cropping season";"mm";"real"
"Cetmtout";"cumulative maximum evapotranspiration over the simulation period";"mm";"real"
"cetp";"cumulative potential evapotranspiration (pet) over the cropping season";"mm";"real"
"chargefruit";"number of filling grains or ripe fruits";"m-2";"real"
"Chuma";"amount of active C in humified organic matter";"kg.ha-1";"real"
