Name;Definition;Unit;Source;Type;VarIndex;PltExpoIndex
abso(n);N uptake rate by the crop;kg.ha-1.d-1;p;real;n;2
age_prairie;age of the forage crop since sowing;year;p;integer;0;1
airg(n);daily amount of irrigation water;mm.d-1;sc;real;n;0
albedolai;albedo of the crop including soil and vegetation;SD;sc;real;0;0
allocfruit;allocation ratio of assimilates to the fruits;0-1;p;real;0;2
amm_1_30;amount of   NH4-N in the soil layer 1 to 30 cm;kg.ha-1;sc;real;0;0
amm_31_60;amount of  NH4-N in the soil layer 31-60 cm;kg.ha-1;sc;real;0;0
amm_61_90;amount of  NH4-N in the soil layer 61-90 cm;kg.ha-1;sc;real;0;0
ammomes;amount of NH4-N in soil over the depth profmes;kg.ha-1;sc;real;0;0
amptcultmat;mean daily temperature range (tcult) during the reproductive phase (stages lax - rec);degreeC;c;real;0;0
anit(n);daily amount of fertiliser-N added to crop;kg.ha-1.d-1;sc;real;n;0
anit_engrais(n);Daily nitrogen provided by fertiliser;kgN.ha-1 j-1;sc;real;n;0
anit_uree(n);amount of animal urine returned to the soil;kgN.ha-1 j-1;sc;real;n;0
anoxmoy;index of anoxia over the root depth;0-1;p;real;0;1
AZamm(1);amount of  NH4-N in soil layer 1;kg.ha-1;sc;real;1;0
AZamm(2);amount of  NH4-N in soil layer 2;kg.ha-1;sc;real;2;0
AZamm(3);amount of  NH4-N in soil layer 3;kg.ha-1;sc;real;3;0
AZamm(4);amount of  NH4-N in soil layer 4;kg.ha-1;sc;real;4;0
AZamm(5);amount of  NH4-N in soil layer 5;kg.ha-1;sc;real;5;0
azlesd;daily amount of NO3-N leached in mole drains;kg.ha-1.d-1;soil;real;0;0
AZnit(1);amount of  NO3-N in soil layer 1;kg.ha-1;soil;real;1;0
AZnit(2);amount of  NO3-N in soil layer 2;kg.ha-1;soil;real;2;0
AZnit(3);amount of  NO3-N in soil layer 3;kg.ha-1;soil;real;3;0
AZnit(4);amount of  NO3-N in soil layer 4;kg.ha-1;soil;real;4;0
AZnit(5);amount of  NO3-N in soil layer 5;kg.ha-1;soil;real;5;0
azomes;amount of NO3-N in soil over the depth profmes;kg.ha-1;sc;real;0;0
azsup_by_horizon(1);lixiviation under the horizon 1;kgN.ha-1;sc;real;1;0
azsup_by_horizon(2);lixiviation under the horizon 2;kgN.ha-1;sc;real;2;0
azsup_by_horizon(3);lixiviation under the horizon 3;kgN.ha-1;sc;real;3;0
azsup_by_horizon(4);lixiviation under the horizon 4;kgN.ha-1;sc;real;4;0
azsup_by_horizon(5);lixiviation under the horizon 5;kgN.ha-1;sc;real;5;0
azsup_under_profmes;lixiviation under the depth of measurement profmes;kgN.ha-1;sc;real;0;0
bouchon;index showing if the shrinkage slots are opened (0) or closed (1);code 0/1;sc;real;0;0
Cb;amount of C in the microbial biomass decomposing organic residues mixed with soil;kg.ha-1;sc;real;0;0
Cbmulch;amount of C in the microbial biomass decomposing organic residues at soil surface (mulch);kg.ha-1;sc;real;0;0
cdemande;cumulative amount of N needed by the plant  (plant needs);kg.ha-1;p;real;0;1
cEdirect;total evaporation (water evaporated by the soil + intercepted by leaves and mulch) integrated over the cropping season;mm;sc;real;0;1
cEdirecttout;total evaporation (water evaporated by the soil + intercepted by leaves and mulch) integrated over the simulation period;mm;sc;real;0;1
cep;cumulative transpiration over the cropping season of plant 1;mm;p;real;0;1
cep2;cumulative transpiration over the cropping season of plants 1 and 2;mm;sc;real;0;1
ces;cumulative evaporation over the cropping season;mm;p;real;0;1
cestout;cumulative evaporation over the simulation period;mm;sc;real;0;0
cet;cumulative evapotranspiration over the cropping season;mm;p;real;0;1
cet_from_lev;cumulative evapotranspiration over the cropping season (from emergence or budbreak);mm;sc;real;0;1
cet_from_plt;cumulative evapotranspiration over the cropping season (from planting or budbreak);mm;sc;real;0;1
cetm;cumulative maximum evapotranspiration over the cropping season;mm;p;real;0;1
Cetmtout;cumulative maximum evapotranspiration over the simulation period;mm;c;real;0;0
cetp;cumulative potential evapotranspiration (PET) over the cropping season;mm;p;real;0;1
chargefruit;number of filling grains or ripe fruits;m-2;p;real;0;1
Chuma;amount of active C in humified organic matter;kg.ha-1;sc;real;0;0
Chumi;amount of inert C in humified organic matter;kg.ha-1;sc;real;0;0
Chumt;amount of C in humified organic matter (active + inert fractions);kg.ha-1;sc;real;0;0
cintermulch;cumulative amount of rain intercepted by the mulch;mm;sc;real;0;0
cinterpluie;cumulative amount of rain intercepted by the leaves;mm;p;real;0;1
Cmulch;amount of C in the whole plant mulch;kg.ha-1;sc;real;0;0
Cmulchdec;amount of C in the decomposable mulch;kg.ha-1;sc;real;0;0
Cmulchnd;amount of C in the non decomposable mulch;kg.ha-1;sc;real;0;0
CNgrain;N concentration in fruits;% dry weight;p;real;0;2
Cnondec(1);amount of C in the undecomposable mulch made of residues of type 1;kg.ha-1;sc;real;1;0
Cnondec(10);amount of C in the undecomposable mulch made of residues of type 10;kg.ha-1;sc;real;10;0
Cnondec(2);amount of C in the undecomposable mulch made of residues of type 2;kg.ha-1;sc;real;2;0
Cnondec(3);amount of C in the undecomposable mulch made of residues of type 3;kg.ha-1;sc;real;3;0
Cnondec(4);amount of C in the undecomposable mulch made of residues of type 4;kg.ha-1;sc;real;4;0
Cnondec(5);amount of C in the undecomposable mulch made of residues of type 5;kg.ha-1;sc;real;5;0
Cnondec(6);amount of C in the undecomposable mulch made of residues of type 6;kg.ha-1;sc;real;6;0
Cnondec(7);amount of C in the undecomposable mulch made of residues of type 7;kg.ha-1;sc;real;7;0
Cnondec(8);amount of C in the undecomposable mulch made of residues of type 8;kg.ha-1;sc;real;8;0
Cnondec(9);amount of C in the undecomposable mulch made of residues of type 9;kg.ha-1;sc;real;9;0
CNplante;N concentration in the aboveground plant;% dry weight;p;real;0;2
CO2(n);atmospheric CO2 concentration above 330 ppm;ppm;c;real;n;0
CO2hum;daily amount of CO2-C emitted due to the mineralisation of soil humus;kg.ha-1.d-1;sc;real;0;0
CO2res;daily amount of CO2-C emitted due to the mineralisation of organic residues;kg.ha-1.d-1;sc;real;0;0
CO2sol;daily amount of CO2-C emitted due to soil mineralisation (humus and organic residues);kg.ha-1.d-1;sc;real;0;0
codebbch_output;code of the bbch stage (see plant file);0-99;p;integer;0;1
concN_W_drained;daily nitrate concentration in drainage water;mg NO3.l-1.day;soil;real;0;0
concNO3les;nitrate concentration in drained water;mg NO3.l-1;soil;real;0;0
concNO3sol(1);nitrate concentration in soil layer 1;mg NO3.l-1;sc;real;1;0
concNO3sol(2);nitrate concentration in soil layer 2;mg NO3.l-1;sc;real;2;0
concNO3sol(3);nitrate concentration in soil layer 3;mg NO3.l-1;sc;real;3;0
concNO3sol(4);nitrate concentration in soil layer 4;mg NO3.l-1;sc;real;4;0
concNO3sol(5);nitrate concentration in soil layer 5;mg NO3.l-1;sc;real;5;0
condenit;ratio of actual to potential denitrifying rate;0-1;soil;real;0;0
couvermulch;cover ratio of mulch;0-1;sc;real;0;0
cpluie;cumulative amount of rain over the simulation period;mm;sc;real;0;0
cprecip;cumulative water supply over the cropping season (precipitation + irrigation);mm;p;real;0;1
cpreciptout;cumulative water supply over the simulation period (precipitation + irrigation);mm;sc;real;0;0
Cr;amount of C in organic residues mixed with soil in the profhum layer;kg.ha-1;sc;real;0;0
Cresiduprofil(1);amount of C in residues over the soil depth profhum in the residue type 1;kg.ha-1;sc;real;1;0
Cresiduprofil(10);amount of C in residues over the soil depth profhum in the residue type 10;kg.ha-1;sc;real;10;0
Cresiduprofil(2);amount of C in residues over the soil depth profhum in the residue type 2;kg.ha-1;sc;real;2;0
Cresiduprofil(3);amount of C in residues over the soil depth profhum in the residue type 3;kg.ha-1;sc;real;3;0
Cresiduprofil(4);amount of C in residues over the soil depth profhum in the residue type 4;kg.ha-1;sc;real;4;0
Cresiduprofil(5);amount of C in residues over the soil depth profhum in the residue type 5;kg.ha-1;sc;real;5;0
Cresiduprofil(6);amount of C in residues over the soil depth profhum in the residue type 6;kg.ha-1;sc;real;6;0
Cresiduprofil(7);amount of C in residues over the soil depth profhum in the residue type 7;kg.ha-1;sc;real;7;0
Cresiduprofil(8);amount of C in residues over the soil depth profhum in the residue type 8;kg.ha-1;sc;real;8;0
Cresiduprofil(9);amount of C in residues over the soil depth profhum in the residue type 9;kg.ha-1;sc;real;9;0
crg;cumulative global radiation over the cropping season;MJ.m-2;p;real;0;1
crgtout;cumulative global radiation over the simulation period;MJ.m-2;c;real;0;0
Crprof;amount of C in deep organic residues mixed with soil (below the profhum depth);kg.ha-1;sc;real;0;0
Crtout;total amount of C in organic residues present over the whole soil profile;kg.ha-1;sc;real;0;0
CsurNrac;C/N ratio of living roots; g g-1;sc;real;0;0
CsurNracmort;C/N ratio of dead roots (cumulative); g g-1;sc;real;0;0
CsurNres_pature;C/N ratio of residues in case of pasture; g g-1;sc;real;0;0
CsurNsol;C/N ratio of soil organic matter in the profhum layer; g g-1;soil;real;0;0
ctairtout;cumulative air temperature (tair) over the simulation period;degreeC;c;real;0;0
ctcult;cumulative crop temperature (tcult) over the cropping season;degreeC;p;real;0;1
ctculttout;cumulative crop temperature (tcult) over the simulation period;degreeC;c;real;0;0
ctetptout;cumulative potential evapotranspiration (pet) over the simulation period;mm;c;real;0;0
ctmoy;cumulative air temperature over the cropping season;degreeC;p;real;0;1
cum_et0;cumulative maximum evapotranspiration over the cropping season (eop+eos);mm;p;real;0;0
cum_et0_from_lev;cumulative maximum evapotranspiration over the cropping season from  germination or budbreak (eop+eos);mm;sc;real;0;0
cum_immob;cumulative amount of N immobilised by the microbial biomass decomposing residues;kg.ha-1;sc;real;0;0
cum_immob_positif;cumulative amount of N immobilised by the microbial biomass decomposing residues (positive value);kg.ha-1;sc;real;0;0
cumlracz;cumulative length of active roots per soil surface;cm.cm-2;p;real;0;1
cumraint;cumulative intercepted radiation;MJ.m-2;p;real;0;1
cumrg;cumulative global radiation during the stage sowing-harvest;MJ.m-2;p;real;0;1
cumvminh;daily amount of N mineralised from humus;kg.ha-1.d-1;soil;real;0;0
cumvminr;daily amount of N mineralised from organic residues;kg.ha-1.d-1;soil;real;0;0
da(1);bulk density of the layer 1 (recalculated  by the model if codeDSTtass is 1);g.cm-3;soil;real;1;0
da(2);bulk density of the layer 2 (recalculated  by the model if codeDSTtass is 1);g.cm-3;soil;real;2;0
date_irrigations(1);date of irrigation;julian day;sc;integer;1;0
date_irrigations(10);date of irrigation;julian day;sc;integer;10;0
date_irrigations(11);date of irrigation;julian day;sc;integer;11;0
date_irrigations(12);date of irrigation;julian day;sc;integer;12;0
date_irrigations(13);date of irrigation;julian day;sc;integer;13;0
date_irrigations(14);date of irrigation;julian day;sc;integer;14;0
date_irrigations(15);date of irrigation;julian day;sc;integer;15;0
date_irrigations(16);date of irrigation;julian day;sc;integer;16;0
date_irrigations(17);date of irrigation;julian day;sc;integer;17;0
date_irrigations(18);date of irrigation;julian day;sc;integer;18;0
date_irrigations(19);date of irrigation;julian day;sc;integer;19;0
date_irrigations(2);date of irrigation;julian day;sc;integer;2;0
date_irrigations(20);date of irrigation;julian day;sc;integer;20;0
date_irrigations(21);date of irrigation;julian day;sc;integer;21;0
date_irrigations(22);date of irrigation;julian day;sc;integer;22;0
date_irrigations(23);date of irrigation;julian day;sc;integer;23;0
date_irrigations(24);date of irrigation;julian day;sc;integer;24;0
date_irrigations(25);date of irrigation;julian day;sc;integer;25;0
date_irrigations(26);date of irrigation;julian day;sc;integer;26;0
date_irrigations(27);date of irrigation;julian day;sc;integer;27;0
date_irrigations(28);date of irrigation;julian day;sc;integer;28;0
date_irrigations(29);date of irrigation;julian day;sc;integer;29;0
date_irrigations(3);date of irrigation;julian day;sc;integer;3;0
date_irrigations(30);date of irrigation;julian day;sc;integer;30;0
date_irrigations(4);date of irrigation;julian day;sc;integer;4;0
date_irrigations(5);date of irrigation;julian day;sc;integer;5;0
date_irrigations(6);date of irrigation;julian day;sc;integer;6;0
date_irrigations(7);date of irrigation;julian day;sc;integer;7;0
date_irrigations(8);date of irrigation;julian day;sc;integer;8;0
date_irrigations(9);date of irrigation;julian day;sc;integer;9;0
day_after_begin_simul;number of days from the beginning of simulation;days;sc;integer;0;0
day_after_emergence;number of days after emergence;days;p;integer;0;1
day_after_sowing;days after sowing or planting;days;sc;integer;0;0
day_cut;cut day;julian day;p;integer;0;0
DCbmulch;change in C amount in microbial biomass decomposing mulch between the beginning and the end of simulation;kg.ha-1;sc;real;0;0
DChumt;change in humified organic C in soil between beginning and end of simulation;kg.ha-1;sc;real;0;0
DCmulch;change in mulch C between the beginning and end of simulation;kg.ha-1;sc;real;0;0
DCr;change in C of organic residues between begining and end of simulation;kg.ha-1;sc;real;0;0
DCrprof;change in deep root C between the beginning and end of simulation;kg.ha-1;sc;real;0;0
deltai(n);daily increase in green leaf index per soil surface;m2.m-2.d-1;p;real;n;2
deltaz;rate of deepening of the root front;cm.d-1;p;real;0;1
demande;daily N requirement of the plant to maximise crop growth;kg.ha-1.d-1;p;real;0;2
demandeper;daily N requirement of the perennial organs to maximise crop growth;kg.ha-1.d-1;p;real;0;2
demanderac;daily N requirementof the roots to maximise crop growth;kg.ha-1.d-1;p;real;0;2
demandetot;daily N requirement of the plant to maximise crop growth after susbtracting N fixation;kg.ha-1.d-1;p;real;0;0
densite;actual sowing density;plants.m-2;p;real;0;1
densiteequiv;equivalent plant density for the understorey crop;plants.m-2;p;real;0;1
dfol;within the shape leaf density;m2.m-3;p;real;0;1
diftemp1intercoupe;mean difference between crop and air temperatures during the vegetative phase (emergence - maximum LAI);degreeC;p;real;0;0
diftemp2intercoupe;mean difference between crop and air temperatures during the reproductive phase (maximum LAI - maturity);degreeC;p;real;0;0
dltags;daily growth rate of the plantlets;t.ha-1.d-1;p;real;0;2
dltaisen;daily change in the senescent leaf area index;m2.m-2.d-1;p;real;0;2
dltams(n);daily growth rate of the plant;t.ha-1.d-1;p;real;n;2
dltamsen;daily senescence rate of the plant;t.ha-1.d-1;p;real;0;2
dltaremobil;daily amount of perennial reserves remobilised;t.ha-1.d-1;p;real;0;2
dltaremobilN;daily amount of perennial N reserves remobilised;kg.ha-1.d-1;p;real;0;2
dltmsrac_plante;pour sorties ArchiSTICS: biomasse journaliere allouee aux racines; g.m2.sol;p;real;0;0
DNbmulch;change in biomass N associated with the mulch between beginning and end of simulation;kg.ha-1;sc;real;0;0
DNhumt;change in humified organic N in soil between beginning and end of simulation;kg.ha-1;sc;real;0;0
DNmulch;change in mulch N between beginning and end of simulation;kg.ha-1;sc;real;0;0
DNr;change in N of organic residues between begining and end of simulation;kg.ha-1;sc;real;0;0
DNrprof;change in N of deep dead roots between begining and end of simulation;kg.ha-1;sc;real;0;0
DQNtot2;change in N content of the two plants (aerial + root + perennial organs) between beginning and end of simulation;kg.ha-1;sc;real;0;0
drain;daily amount of water drained at the base of the soil profile;mm.d-1;sc;real;0;0
